,0,1,2,3,4
0,L2,Arc,18,389,21.540115
1,L2,Arc,102,246,15.3826885
2,L2,Arc,209,258,18.74478
3,L2,Arc,93,296,18.737833
4,L2,Arc,377,37,20.126425
5,L2,Arc,225,98,20.825077
6,L2,Arc,337,343,16.965792
7,L2,Arc,5,384,15.278156
8,L2,Arc,268,191,18.645508
9,L2,Arc,107,301,16.916954
10,L2,Arc,36,153,17.727825
11,L2,Arc,21,326,18.767086
12,L2,Arc,368,82,15.937151
13,L2,Arc,49,52,18.674694
14,L2,Arc,73,203,17.638832
15,L2,Arc,331,327,20.243362
16,L2,Arc,118,59,15.274413
17,L2,Arc,199,204,14.0089445
18,L2,Arc,79,202,14.027482
19,L2,Arc,208,87,15.877883
20,L2,Arc,143,174,13.222395
21,L2,Arc,334,365,16.608992
22,L2,Arc,378,386,20.024546
23,L2,Arc,399,142,19.22994
24,L2,Arc,69,218,16.814505
25,L2,Arc,40,141,19.341923
26,L2,Arc,80,24,14.916035
27,L2,Arc,74,339,16.655544
28,L2,Arc,370,325,24.672419
29,L2,Arc,247,303,17.44996
0,L2,Arc,121,121,9.666681
1,L2,Arc,254,254,4.210385
2,L2,Arc,212,212,11.730652
3,L2,Arc,32,32,11.520549
4,L2,Arc,182,182,11.893412
5,L2,Arc,266,266,8.587741
6,L2,Arc,294,294,12.034155
7,L2,Arc,215,215,9.129458
8,L2,Arc,114,114,10.710832
9,L2,Arc,21,21,12.451958
10,L2,Arc,269,269,9.868693
11,L2,Arc,10,10,10.428467
12,L2,Arc,279,279,8.353595
13,L2,Arc,147,147,9.988632
14,L2,Arc,248,248,10.050995
15,L2,Arc,150,150,8.617783
16,L2,Arc,351,351,9.499142
17,L2,Arc,95,95,8.620737
18,L2,Arc,74,74,16.21581
19,L2,Arc,399,399,8.886868
20,L2,Arc,363,363,9.615736
21,L2,Arc,166,166,8.420309
22,L2,Arc,202,202,10.328833
23,L2,Arc,218,218,9.189033
24,L2,Arc,306,306,14.476572
25,L2,Arc,385,385,8.286783
26,L2,Arc,252,252,11.853872
27,L2,Arc,160,160,12.786748
28,L2,Arc,341,341,9.648208
29,L2,Arc,91,91,9.988943
