,0,1,2
0,137,355,0.28881577
1,195,73,0.018200608
2,323,321,0.09049767
3,268,160,0.024528567
4,9,100,0.04119652
5,68,397,0.041622702
6,349,154,0.29253727
7,36,224,0.04605549
8,103,22,0.112217866
9,209,370,0.0071024713
10,281,71,0.0028675713
11,46,175,0.0007012189
12,302,58,0.30130026
13,174,29,0.24736074
14,383,256,2.7244064e-07
15,329,38,0.16285813
16,66,351,0.06270895
17,98,358,0.024255034
18,335,72,0.013300375
19,121,45,0.00017497716
20,173,184,0.22247754
21,210,339,0.0012958781
22,169,243,0.010137243
23,35,272,0.04071123
24,274,134,0.07257722
25,234,31,0.19444865
26,219,170,0.0002366446
27,317,117,0.011363822
28,221,216,2.6916086e-05
29,319,185,0.23260608
0,304,304,0.42984796
1,157,157,1.5715662
2,142,142,0.40066934
3,146,146,4.8847027
4,211,211,0.03983494
5,376,376,0.5523246
6,268,268,0.26258484
7,159,159,0.28257182
8,274,274,0.27255479
9,167,167,0.37075558
10,360,360,0.674209
11,106,106,0.00096044375
12,377,377,0.44734034
13,152,152,2.7621214
14,125,125,0.1960461
15,81,81,0.1367804
16,28,28,0.48186558
17,231,231,0.50971097
18,38,38,1.1209463
19,156,156,0.37219682
20,251,251,0.56371754
21,115,115,1.1030456
22,189,189,0.465304
23,317,317,0.15801726
24,326,326,0.18918759
25,25,25,0.08125212
26,192,192,6.5947285
27,320,320,0.19280358
28,139,139,0.21584827
29,186,186,1.6214421
