,0,1,2
0,221,156,0.06907027
1,95,163,0.14440832
2,30,25,0.03425544
3,17,153,0.116705656
4,135,118,0.030300401
5,372,97,0.011456465
6,229,141,0.04544965
7,309,150,0.004228776
8,291,155,0.09816897
9,315,81,0.07733385
10,236,12,0.069007486
11,311,5,0.0060133133
12,125,272,0.08867431
13,357,388,9.72153e-08
14,212,40,0.2053187
15,238,354,0.05621822
16,343,248,0.10260511
17,51,268,0.28082845
18,289,16,0.1849656
19,247,108,0.031359844
20,78,231,0.14729552
21,151,168,0.29018834
22,119,312,0.0018381263
23,182,353,0.0032178743
24,111,183,0.036591828
25,297,27,0.0025675395
26,308,20,0.050516803
27,383,117,0.0018442414
28,350,59,0.038791295
29,127,75,0.11710913
30,162,174,0.112126485
31,216,303,0.025107022
32,10,260,0.079451114
33,230,98,0.010309953
34,336,110,0.17584673
35,179,102,0.0023054746
36,382,173,0.015993807
37,132,187,0.0031416314
38,207,70,0.05058386
39,233,121,0.0002880867
40,161,80,0.0024997366
41,225,47,0.21026076
42,362,1,0.09847925
43,195,18,0.058514174
44,104,263,0.007658571
45,96,90,0.18696973
46,45,186,0.032042257
47,92,191,0.002728499
48,134,335,0.019262942
49,301,323,0.0008971989
50,164,365,0.309176
51,213,170,0.061021395
52,267,290,0.060641468
53,50,208,0.116062306
54,378,19,0.023952603
55,86,41,2.6296662e-05
56,100,349,0.097036816
57,373,282,0.050768
58,15,211,0.00037846918
59,83,24,0.040025692
60,223,374,0.00031614935
61,341,348,0.047285605
62,249,346,0.31107983
63,103,28,0.11584062
64,358,129,0.072709866
65,120,314,0.0037225361
66,274,190,3.4392306e-05
67,235,180,0.037674136
68,52,73,0.10371285
69,273,389,0.0037386762
70,292,306,0.07380798
71,245,327,0.1137388
72,69,326,5.8861784e-05
73,172,193,0.0015926753
74,87,325,0.09562249
75,258,201,0.06477886
76,192,197,0.0024494235
77,65,31,0.02491224
78,49,262,0.03544599
79,387,181,0.026496869
80,29,169,0.16270076
81,293,324,0.069086745
82,232,368,0.23961608
83,113,393,0.06823794
84,136,234,0.17511953
85,23,339,0.00020806926
86,43,265,0.10165061
87,71,194,0.0057965247
88,131,149,0.066895366
89,259,148,0.04528003
90,287,330,0.0003580279
91,178,392,0.19548675
92,206,319,0.2345895
93,381,337,0.1901976
94,184,145,0.06706235
95,285,106,0.12198352
96,384,157,0.031657714
97,246,269,0.015606899
98,367,379,0.0016453465
99,264,376,0.13794047
0,46,46,0.2568197
1,61,61,0.4030294
2,125,125,0.25803542
3,394,394,0.51055026
4,315,315,0.17773627
5,56,56,0.235096
6,74,74,0.21797201
7,97,97,0.82099825
8,337,337,1.7372419
9,191,191,0.78606766
10,281,281,0.47641468
11,116,116,0.36975467
12,96,96,0.42987037
13,30,30,0.39757782
14,34,34,1.9062082
15,76,76,0.28395826
16,298,298,0.48430723
17,307,307,0.41659963
18,86,86,7.2732162
19,250,250,0.6569269
20,147,147,0.4110139
21,72,72,0.23259827
22,4,4,0.38985637
23,27,27,0.6161386
24,309,309,0.33831057
25,94,94,0.27611026
26,112,112,0.50538206
27,219,219,0.5946475
28,263,263,0.37986255
29,327,327,16.267164
30,136,136,0.40209958
31,256,256,2.1321256
32,267,267,0.70346004
33,280,280,0.3130306
34,359,359,0.2818086
35,163,163,2.1604636
36,58,58,5.2991514
37,278,278,0.26402813
38,312,312,0.3564561
39,70,70,0.6378386
40,101,101,0.65129775
41,303,303,0.89566016
42,42,42,0.20099548
43,79,79,0.17363471
44,282,282,0.08842013
45,202,202,4.310971
46,26,26,0.21849737
47,369,369,0.36390105
48,128,128,0.075594686
49,386,386,0.19643992
50,164,164,0.3011303
51,306,306,0.23111734
52,243,243,0.35431752
53,232,232,0.5439507
54,151,151,0.19795004
55,206,206,0.12760086
56,255,255,0.42998022
57,14,14,1.7618124
58,268,268,0.11355827
59,141,141,1.0933129
60,192,192,2.3814795
61,120,120,0.29722834
62,353,353,0.42463747
63,222,222,0.122863635
64,218,218,0.617814
65,214,214,1.1590827
66,389,389,0.40868804
67,184,184,0.76393473
68,363,363,0.11041005
69,345,345,0.53249735
70,372,372,1.2570504
71,247,247,0.23550875
72,109,109,0.7977216
73,203,203,0.34902024
74,22,22,0.088378765
75,67,67,0.28802323
76,91,91,3.197922
77,334,334,0.18267545
78,64,64,320.18567
79,84,84,0.37918055
80,59,59,0.5460159
81,276,276,0.056674413
82,248,248,1.323045
83,224,224,0.48115817
84,231,231,0.15926477
85,375,375,0.36973238
86,245,245,0.37406865
87,175,175,0.85320854
88,80,80,0.029498413
89,354,354,2.7425866
90,189,189,0.29675844
91,115,115,0.18864536
92,35,35,1.5061556
93,87,87,0.041137632
94,122,122,2.5487988
95,292,292,0.025219757
96,362,362,0.24783784
97,364,364,0.26920706
98,207,207,0.342162
99,176,176,3.2996156
