,0,1,2,3,4
0,Cos,Cos,42,186,-0.07217218
1,Cos,Cos,132,253,0.017665872
2,Cos,Cos,344,267,0.032909382
3,Cos,Cos,250,159,0.07655801
4,Cos,Cos,246,221,-0.045701075
5,Cos,Cos,219,334,0.023490367
6,Cos,Cos,152,197,0.18646763
7,Cos,Cos,64,224,-0.029207379
8,Cos,Cos,70,157,-0.07931657
9,Cos,Cos,210,62,0.025161061
10,Cos,Cos,158,360,0.17485191
11,Cos,Cos,128,172,0.07589494
12,Cos,Cos,194,106,-0.13408853
13,Cos,Cos,12,183,0.13150844
14,Cos,Cos,75,306,0.2799565
15,Cos,Cos,393,258,0.08213357
16,Cos,Cos,58,214,0.018344244
17,Cos,Cos,74,98,-0.13553281
18,Cos,Cos,262,215,0.12287018
19,Cos,Cos,175,28,-0.109386735
20,Cos,Cos,356,73,0.01476334
21,Cos,Cos,5,239,-0.044858716
22,Cos,Cos,100,272,0.0382114
23,Cos,Cos,226,110,0.032624975
24,Cos,Cos,266,240,0.038192563
25,Cos,Cos,105,76,-0.059783746
26,Cos,Cos,68,177,-0.10063648
27,Cos,Cos,3,57,0.053213213
28,Cos,Cos,354,169,-0.14043273
29,Cos,Cos,370,279,-0.09840013
0,Cos,Cos,254,254,0.64861935
1,Cos,Cos,96,96,0.16016509
2,Cos,Cos,158,158,0.34766755
3,Cos,Cos,298,298,0.76773924
4,Cos,Cos,24,24,0.4733813
5,Cos,Cos,232,232,0.8874329
6,Cos,Cos,70,70,0.26552367
7,Cos,Cos,370,370,0.5707245
8,Cos,Cos,353,353,0.72576994
9,Cos,Cos,114,114,0.68598163
10,Cos,Cos,311,311,0.61972207
11,Cos,Cos,3,3,0.7379246
12,Cos,Cos,38,38,0.5037747
13,Cos,Cos,5,5,0.8387024
14,Cos,Cos,382,382,0.2200157
15,Cos,Cos,12,12,0.24861282
16,Cos,Cos,170,170,0.58017415
17,Cos,Cos,235,235,0.8513618
18,Cos,Cos,37,37,0.69641507
19,Cos,Cos,222,222,0.80591047
20,Cos,Cos,33,33,0.32149434
21,Cos,Cos,116,116,0.23436145
22,Cos,Cos,319,319,0.2185255
23,Cos,Cos,322,322,0.8005321
24,Cos,Cos,52,52,0.67709875
25,Cos,Cos,261,261,0.4546465
26,Cos,Cos,186,186,0.6883128
27,Cos,Cos,58,58,0.10632721
28,Cos,Cos,192,192,-0.014929201
29,Cos,Cos,78,78,0.67534226
