,0,1,2
0,11,69,0.010106245
1,272,151,0.30128866
2,124,139,0.13109247
3,275,47,0.10787268
4,266,246,0.07901081
5,46,259,0.04351141
6,374,90,0.028221715
7,165,40,0.09014333
8,257,80,0.13875492
9,34,278,0.0020963396
10,322,122,0.012272676
11,161,324,0.16563429
12,346,15,0.082589634
13,323,84,4.6108187e-05
14,361,137,0.00054924464
15,264,255,0.122375324
16,291,198,0.097982116
17,120,372,0.030882705
18,387,104,0.0001274645
19,250,366,0.12207379
20,29,364,0.3067217
21,39,244,0.07116687
22,23,14,0.10241467
23,214,22,0.018467141
24,97,241,0.16022597
25,113,292,0.17057264
26,397,388,0.0108144935
27,226,60,0.01044755
28,162,280,0.0018802185
29,106,350,0.04372011
30,375,19,0.019197574
31,288,294,0.046200294
32,153,392,0.058411364
33,363,229,0.03916053
34,331,154,0.16652703
35,42,306,0.10874369
36,144,370,4.091892e-05
37,282,231,0.016941814
38,382,358,0.03614752
39,130,118,0.18805788
40,160,308,0.047563363
41,336,240,0.005584247
42,49,371,0.0036159635
43,101,222,0.001217531
44,168,356,0.14206675
45,63,203,0.0016908601
46,58,228,0.010028797
47,345,103,0.0045127603
48,55,227,0.004863851
49,243,221,0.0063187266
50,184,115,0.00019867327
51,131,219,1.0405135e-05
52,4,128,0.013485241
53,123,44,0.056524783
54,378,167,0.22317436
55,224,274,0.052244585
56,99,121,0.23898411
57,27,135,0.17106457
58,59,94,0.12925544
59,200,5,0.016155029
60,268,398,0.16399303
61,171,187,3.7299128e-07
62,354,329,0.010722169
63,16,54,0.05789085
64,201,234,0.16342054
65,215,377,0.026699211
66,74,48,0.0010825905
67,279,156,0.0016127353
68,199,332,0.0391595
69,330,343,0.006035144
0,116,116,0.11676431
1,177,177,0.52998596
2,308,308,0.3733418
3,316,316,0.23622493
4,317,317,0.22622797
5,11,11,0.5506944
6,217,217,0.25369725
7,372,372,0.09613581
8,208,208,0.21728732
9,221,221,0.00914191
10,159,159,0.25863063
11,298,298,0.18537074
12,344,344,0.15018797
13,267,267,3.069142
14,319,319,0.39856973
15,24,24,1.00471
16,270,270,0.34271225
17,278,278,5.7798305
18,146,146,0.21185617
19,27,27,4.246265
20,315,315,0.40518007
21,128,128,0.03263126
22,105,105,0.47886947
23,133,133,0.48080385
24,151,151,0.61186683
25,346,346,0.40937614
26,235,235,0.07918645
27,12,12,0.22624132
28,329,329,0.3550051
29,291,291,0.15174216
30,361,361,0.1295503
31,390,390,0.84459585
32,190,190,0.21818733
33,41,41,1.541964
34,263,263,2.2730587
35,179,179,0.913948
36,50,50,0.2844642
37,312,312,0.8060175
38,37,37,0.22656526
39,255,255,0.42302102
40,35,35,0.39155278
41,318,318,0.17588508
42,222,222,0.9274236
43,294,294,0.42994547
44,290,290,0.23100723
45,338,338,0.123219416
46,378,378,6.086683
47,292,292,0.039081275
48,86,86,24.768902
49,201,201,0.44618428
50,163,163,0.27252415
51,157,157,0.66109765
52,334,334,1.3960489
53,154,154,0.37097347
54,73,73,0.032138545
55,395,395,0.18570839
56,324,324,0.24321744
57,121,121,0.73818207
58,218,218,0.20056093
59,92,92,0.26480398
60,300,300,0.23031406
61,337,337,1.2023085
62,8,8,0.40042958
63,91,91,10.100106
64,67,67,0.49338427
65,243,243,0.3366882
66,354,354,0.5014052
67,210,210,0.055359583
68,2,2,0.410845
69,25,25,0.47776097
