,0,1,2,3,4
0,L2,Cos,130,325,13.549637
1,L2,Cos,201,242,14.205094
2,L2,Cos,171,390,16.436571
3,L2,Cos,266,352,18.787958
4,L2,Cos,396,22,12.134021
5,L2,Cos,343,319,13.259632
6,L2,Cos,36,307,13.9792385
7,L2,Cos,205,10,14.443104
8,L2,Cos,70,110,15.645066
9,L2,Cos,323,336,16.981623
10,L2,Cos,255,271,13.837014
11,L2,Cos,121,285,13.865516
12,L2,Cos,25,60,17.210978
13,L2,Cos,286,208,13.865154
14,L2,Cos,4,362,14.760743
15,L2,Cos,23,365,15.541372
16,L2,Cos,80,327,12.784348
17,L2,Cos,32,166,14.412364
18,L2,Cos,15,313,14.639081
19,L2,Cos,305,248,18.9161
20,L2,Cos,118,223,14.263003
21,L2,Cos,206,154,17.193474
22,L2,Cos,329,222,14.152762
23,L2,Cos,95,210,13.391326
24,L2,Cos,332,69,14.679724
25,L2,Cos,147,143,15.457545
26,L2,Cos,219,58,12.527587
27,L2,Cos,366,63,14.882998
28,L2,Cos,26,186,14.733723
29,L2,Cos,202,372,11.233718
0,L2,Cos,167,167,8.612085
1,L2,Cos,214,214,8.547594
2,L2,Cos,26,26,10.032051
3,L2,Cos,122,122,12.040069
4,L2,Cos,85,85,7.267663
5,L2,Cos,266,266,7.7006097
6,L2,Cos,172,172,10.833748
7,L2,Cos,22,22,10.507493
8,L2,Cos,220,220,8.332022
9,L2,Cos,155,155,10.199953
10,L2,Cos,70,70,11.09208
11,L2,Cos,322,322,9.74624
12,L2,Cos,174,174,11.108419
13,L2,Cos,225,225,10.41589
14,L2,Cos,386,386,6.852166
15,L2,Cos,279,279,8.70306
16,L2,Cos,251,251,8.534281
17,L2,Cos,203,203,8.850299
18,L2,Cos,98,98,11.087162
19,L2,Cos,31,31,8.511988
20,L2,Cos,149,149,8.779869
21,L2,Cos,199,199,9.951053
22,L2,Cos,91,91,10.829076
23,L2,Cos,179,179,9.814904
24,L2,Cos,281,281,9.888124
25,L2,Cos,246,246,7.5955586
26,L2,Cos,83,83,5.7415776
27,L2,Cos,391,391,8.224606
28,L2,Cos,238,238,8.208193
29,L2,Cos,354,354,8.488295
