,0,1,2,3,4
0,Cos,Cos,1249,149,0.058966532
1,Cos,Cos,1239,409,0.12247326
2,Cos,Cos,3519,1789,0.2236512
3,Cos,Cos,1599,2869,0.04988379
4,Cos,Cos,1749,369,0.3941929
5,Cos,Cos,899,1869,0.13169828
6,Cos,Cos,1519,1469,0.23606914
7,Cos,Cos,1189,1509,0.2521135
8,Cos,Cos,1809,259,0.059370007
9,Cos,Cos,949,49,0.26452732
10,Cos,Cos,569,3229,0.17406684
11,Cos,Cos,3129,2259,-0.0009269156
12,Cos,Cos,3689,389,0.19810686
13,Cos,Cos,3789,3149,0.18251199
14,Cos,Cos,2949,1579,0.05783415
15,Cos,Cos,2449,3889,0.013131881
16,Cos,Cos,1689,1649,0.08968691
17,Cos,Cos,3279,2749,0.33366832
18,Cos,Cos,1909,819,0.24977879
19,Cos,Cos,2909,1989,0.32695788
20,Cos,Cos,2549,3099,-0.010402559
21,Cos,Cos,1399,2229,0.036854476
22,Cos,Cos,2879,2719,0.3227247
23,Cos,Cos,469,2079,0.12244633
24,Cos,Cos,4019,1119,0.38274676
25,Cos,Cos,2739,3829,0.06963469
26,Cos,Cos,3359,1559,0.34314907
27,Cos,Cos,2249,699,0.38299662
28,Cos,Cos,2389,2409,0.046538636
29,Cos,Cos,3589,3379,-0.21739434
0,Cos,Cos,2329,2329,0.16729581
1,Cos,Cos,3079,3079,0.24886994
2,Cos,Cos,1109,1109,0.37622386
3,Cos,Cos,2819,2819,0.46040034
4,Cos,Cos,1679,1679,0.08247498
5,Cos,Cos,3539,3539,0.18345706
6,Cos,Cos,3119,3119,0.18563662
7,Cos,Cos,1979,1979,0.43078095
8,Cos,Cos,3629,3629,0.2342487
9,Cos,Cos,1519,1519,0.24839179
11,Cos,Cos,389,389,0.17277527
12,Cos,Cos,1489,1489,0.22193046
13,Cos,Cos,2829,2829,0.19613479
14,Cos,Cos,1349,1349,0.3842184
15,Cos,Cos,3449,3449,0.26955974
16,Cos,Cos,3779,3779,0.33511835
17,Cos,Cos,1189,1189,0.32720122
18,Cos,Cos,1359,1359,0.2596427
19,Cos,Cos,4019,4019,0.35248238
20,Cos,Cos,3809,3809,0.37217757
21,Cos,Cos,689,689,0.5825033
22,Cos,Cos,2689,2689,0.27516523
23,Cos,Cos,869,869,0.52159727
24,Cos,Cos,649,649,0.35472712
25,Cos,Cos,1289,1289,0.2602103
26,Cos,Cos,3549,3549,0.393242
27,Cos,Cos,3379,3379,0.034818638
28,Cos,Cos,419,419,0.47241232
29,Cos,Cos,2779,2779,0.27414685
30,Cos,Cos,1649,1649,0.2427354
31,Cos,Cos,1259,1259,0.44442052
32,Cos,Cos,2809,2809,0.16580507
34,Cos,Cos,2869,2869,0.16170709
35,Cos,Cos,2559,2559,0.34205207
36,Cos,Cos,59,59,0.25442395
37,Cos,Cos,629,629,0.07536136
38,Cos,Cos,789,789,0.2429931
39,Cos,Cos,2429,2429,0.38359168
40,Cos,Cos,3159,3159,0.32675293
41,Cos,Cos,2439,2439,0.41152653
42,Cos,Cos,1869,1869,0.33533475
43,Cos,Cos,159,159,0.28294697
44,Cos,Cos,1629,1629,0.39801288
45,Cos,Cos,949,949,0.36395624
46,Cos,Cos,3179,3179,0.10819471
47,Cos,Cos,1099,1099,0.33561498
48,Cos,Cos,3579,3579,0.292516
49,Cos,Cos,1789,1789,0.18637088
50,Cos,Cos,3719,3719,0.11828429
51,Cos,Cos,3899,3899,0.6087099
52,Cos,Cos,1019,1019,0.05541773
53,Cos,Cos,3989,3989,0.06586094
54,Cos,Cos,1829,1829,0.23272523
55,Cos,Cos,1999,1999,0.17587124
56,Cos,Cos,2539,2539,0.27546477
57,Cos,Cos,1469,1469,0.5280743
58,Cos,Cos,1279,1279,0.38286218
59,Cos,Cos,3729,3729,0.12756616
