,0,1,2,3,4
0,DAM,Arc,1769,3249,0.4743829
1,DAM,Arc,3509,1929,0.48410946
2,DAM,Arc,2959,3409,0.4773914
3,DAM,Arc,3479,2879,0.4873066
4,DAM,Arc,1569,1079,0.48869509
5,DAM,Arc,2979,2799,0.47496703
6,DAM,Arc,2049,2469,0.48780894
7,DAM,Arc,2439,1659,0.47874054
8,DAM,Arc,2539,1349,0.47556534
9,DAM,Arc,3359,2089,0.48798615
10,DAM,Arc,3919,1289,0.48255402
11,DAM,Arc,1809,1379,0.49679333
12,DAM,Arc,2449,3449,0.4787203
13,DAM,Arc,1449,3809,0.4778033
14,DAM,Arc,879,2699,0.48566222
15,DAM,Arc,3499,1459,0.4785997
16,DAM,Arc,1299,2159,0.49080634
17,DAM,Arc,2389,1549,0.477486
18,DAM,Arc,619,259,0.47485745
19,DAM,Arc,2509,3639,0.4734069
20,DAM,Arc,1049,479,0.48750037
21,DAM,Arc,929,219,0.48231167
22,DAM,Arc,189,2029,0.46856087
23,DAM,Arc,2679,379,0.4836762
24,DAM,Arc,2839,3329,0.4890058
25,DAM,Arc,1159,1279,0.4795012
26,DAM,Arc,139,1939,0.49228424
27,DAM,Arc,1629,3239,0.47744277
28,DAM,Arc,3759,559,0.47910178
29,DAM,Arc,1069,1589,0.48399234
0,DAM,Arc,3079,3079,0.4876398
1,DAM,Arc,2429,2429,0.4901337
2,DAM,Arc,899,899,0.5054897
3,DAM,Arc,109,109,0.4936908
4,DAM,Arc,2759,2759,0.49370998
5,DAM,Arc,1129,1129,0.49242777
6,DAM,Arc,2369,2369,0.48176855
7,DAM,Arc,3269,3269,0.49424067
8,DAM,Arc,2969,2969,0.49224725
9,DAM,Arc,3829,3829,0.48270962
10,DAM,Arc,2589,2589,0.49824408
11,DAM,Arc,1269,1269,0.5014092
12,DAM,Arc,3049,3049,0.49257618
13,DAM,Arc,1969,1969,0.48617887
14,DAM,Arc,2329,2329,0.48650596
15,DAM,Arc,1789,1789,0.4824811
16,DAM,Arc,1239,1239,0.49504822
17,DAM,Arc,609,609,0.49832505
18,DAM,Arc,2019,2019,0.4921083
19,DAM,Arc,1869,1869,0.496903
21,DAM,Arc,699,699,0.49032208
22,DAM,Arc,189,189,0.49457774
23,DAM,Arc,3849,3849,0.4987369
24,DAM,Arc,3699,3699,0.49582753
25,DAM,Arc,959,959,0.4941873
26,DAM,Arc,2169,2169,0.49028188
27,DAM,Arc,369,369,0.47563976
28,DAM,Arc,259,259,0.48817125
29,DAM,Arc,2299,2299,0.4917441
30,DAM,Arc,3099,3099,0.49415898
31,DAM,Arc,3639,3639,0.49809924
32,DAM,Arc,689,689,0.48950005
33,DAM,Arc,1569,1569,0.49202225
34,DAM,Arc,1749,1749,0.48598927
35,DAM,Arc,949,949,0.49364275
36,DAM,Arc,3469,3469,0.49467853
37,DAM,Arc,1669,1669,0.49522775
38,DAM,Arc,519,519,0.49403208
39,DAM,Arc,2899,2899,0.5036325
40,DAM,Arc,2849,2849,0.4945411
41,DAM,Arc,1489,1489,0.49670866
42,DAM,Arc,3499,3499,0.4847391
43,DAM,Arc,3129,3129,0.47912046
44,DAM,Arc,3969,3969,0.494098
45,DAM,Arc,1219,1219,0.4824214
46,DAM,Arc,39,39,0.4916265
47,DAM,Arc,1849,1849,0.48678124
48,DAM,Arc,1259,1259,0.49180567
49,DAM,Arc,349,349,0.4943896
50,DAM,Arc,299,299,0.4838492
51,DAM,Arc,1199,1199,0.48349097
52,DAM,Arc,9,9,0.47385183
53,DAM,Arc,1679,1679,0.48247743
54,DAM,Arc,779,779,0.4962966
55,DAM,Arc,2639,2639,0.49743503
56,DAM,Arc,1809,1809,0.47662216
57,DAM,Arc,1549,1549,0.481613
58,DAM,Arc,1609,1609,0.48074356
59,DAM,Arc,3249,3249,0.48556805
