,0,1,2,3,4
0,L2,Arc,2129,959,10.306373
1,L2,Arc,2789,3399,9.281952
2,L2,Arc,2739,779,11.040754
3,L2,Arc,1739,1309,11.930082
4,L2,Arc,2639,569,12.210313
5,L2,Arc,1769,119,12.268265
6,L2,Arc,2589,3789,11.064444
7,L2,Arc,629,2329,10.665692
8,L2,Arc,2149,1749,12.942358
9,L2,Arc,149,3619,10.487868
10,L2,Arc,2839,39,12.751142
11,L2,Arc,3469,2609,10.022309
12,L2,Arc,1449,759,8.522953
13,L2,Arc,899,2449,13.55191
14,L2,Arc,1699,1419,9.143329
15,L2,Arc,2929,3259,12.428041
16,L2,Arc,3949,1789,13.163943
17,L2,Arc,3689,579,10.137419
18,L2,Arc,3479,1829,12.476907
19,L2,Arc,369,2029,13.309696
20,L2,Arc,1539,559,11.002255
21,L2,Arc,2899,379,11.729875
22,L2,Arc,3729,459,11.203291
23,L2,Arc,2669,2829,11.012522
24,L2,Arc,3989,1489,11.592011
25,L2,Arc,1979,929,12.094618
26,L2,Arc,3879,979,12.7000885
27,L2,Arc,3319,3409,12.258506
28,L2,Arc,969,729,10.608065
29,L2,Arc,3899,2479,11.652612
0,L2,Arc,849,849,11.581595
1,L2,Arc,969,969,11.461261
2,L2,Arc,2679,2679,13.916506
3,L2,Arc,1019,1019,12.241461
4,L2,Arc,2269,2269,10.399943
5,L2,Arc,539,539,10.186232
6,L2,Arc,2909,2909,10.1231165
7,L2,Arc,3169,3169,9.188033
8,L2,Arc,259,259,11.236467
9,L2,Arc,3789,3789,9.662775
10,L2,Arc,579,579,9.27492
11,L2,Arc,2809,2809,11.386981
13,L2,Arc,2439,2439,12.404203
14,L2,Arc,3799,3799,12.161008
15,L2,Arc,2669,2669,10.338542
16,L2,Arc,3389,3389,9.115202
17,L2,Arc,99,99,8.212684
18,L2,Arc,2749,2749,8.897786
19,L2,Arc,2539,2539,12.283463
20,L2,Arc,3089,3089,9.236443
21,L2,Arc,2089,2089,10.935489
22,L2,Arc,3629,3629,11.94213
23,L2,Arc,69,69,7.6663294
24,L2,Arc,2779,2779,11.8753805
25,L2,Arc,2959,2959,12.424963
26,L2,Arc,3729,3729,15.065436
27,L2,Arc,799,799,11.886004
28,L2,Arc,3919,3919,11.707198
29,L2,Arc,1839,1839,7.914031
30,L2,Arc,239,239,10.447245
32,L2,Arc,1179,1179,9.932763
33,L2,Arc,1559,1559,10.189691
34,L2,Arc,3599,3599,11.737233
35,L2,Arc,199,199,12.842305
36,L2,Arc,1379,1379,8.47521
37,L2,Arc,289,289,9.085576
38,L2,Arc,2409,2409,10.52553
39,L2,Arc,1589,1589,12.322128
40,L2,Arc,409,409,11.484075
41,L2,Arc,2449,2449,13.068822
42,L2,Arc,2839,2839,13.348235
43,L2,Arc,1239,1239,8.927872
44,L2,Arc,3949,3949,8.30237
45,L2,Arc,1029,1029,9.703002
46,L2,Arc,629,629,11.897106
47,L2,Arc,1759,1759,7.3785
49,L2,Arc,1359,1359,13.602215
50,L2,Arc,659,659,14.164497
51,L2,Arc,119,119,11.725564
52,L2,Arc,369,369,13.746691
53,L2,Arc,2849,2849,8.306845
54,L2,Arc,1089,1089,11.9877
55,L2,Arc,2509,2509,13.008916
56,L2,Arc,2239,2239,11.439015
57,L2,Arc,1169,1169,10.026407
58,L2,Arc,2329,2329,10.605937
59,L2,Arc,1259,1259,6.902242
