,0,1,2,3,4
0,L2,Cos,109,188,18.383741
1,L2,Cos,276,102,15.160036
2,L2,Cos,318,259,19.832073
3,L2,Cos,324,38,17.726131
4,L2,Cos,199,243,19.924221
5,L2,Cos,98,152,18.131327
6,L2,Cos,128,282,17.686485
7,L2,Cos,133,367,22.79984
8,L2,Cos,283,196,16.487505
9,L2,Cos,206,229,15.6607685
10,L2,Cos,288,271,19.252764
11,L2,Cos,371,153,16.978445
12,L2,Cos,330,381,19.119986
13,L2,Cos,230,294,25.058321
14,L2,Cos,181,368,17.290083
15,L2,Cos,91,341,20.254154
16,L2,Cos,380,37,17.544382
17,L2,Cos,242,338,18.919188
18,L2,Cos,15,167,19.252075
19,L2,Cos,183,351,21.475426
20,L2,Cos,391,293,21.487377
21,L2,Cos,369,51,15.142965
22,L2,Cos,327,254,21.154808
23,L2,Cos,333,36,16.804554
24,L2,Cos,313,182,21.643612
25,L2,Cos,39,208,18.784876
26,L2,Cos,307,19,19.132816
27,L2,Cos,396,21,18.113739
28,L2,Cos,43,130,20.618624
29,L2,Cos,395,377,18.954132
0,L2,Cos,12,12,11.459489
1,L2,Cos,47,47,9.334243
2,L2,Cos,219,219,12.406022
3,L2,Cos,316,316,13.11321
4,L2,Cos,367,367,12.0630245
5,L2,Cos,150,150,12.560795
6,L2,Cos,63,63,8.824501
7,L2,Cos,118,118,17.04678
8,L2,Cos,131,131,11.307122
9,L2,Cos,341,341,11.631748
10,L2,Cos,157,157,12.41791
11,L2,Cos,66,66,12.412276
12,L2,Cos,312,312,8.998891
13,L2,Cos,136,136,13.249789
14,L2,Cos,215,215,5.0657983
15,L2,Cos,9,9,9.946481
16,L2,Cos,296,296,12.2127695
17,L2,Cos,78,78,12.189716
18,L2,Cos,364,364,11.311992
19,L2,Cos,368,368,10.250252
20,L2,Cos,11,11,9.155214
21,L2,Cos,44,44,11.194005
22,L2,Cos,116,116,9.035024
23,L2,Cos,60,60,13.657965
24,L2,Cos,255,255,11.903053
25,L2,Cos,234,234,9.112853
26,L2,Cos,337,337,9.341024
27,L2,Cos,75,75,16.763231
28,L2,Cos,361,361,11.221826
29,L2,Cos,1,1,11.992498
